FullName,NOM,PRENOM,ADRESSE,CODE_POSTAL,LOCALITE,GOUVERNORAT,SPECIALITE,CATEGORIE_PRESTATAIRE,APC,NameAr,Delegations_Name,Delegations_NameAr,Delegations_Value,Delegations_Latitude,Delegations_Longitude
NOUREDDINE GHARIANI,GHARIANI,NOUREDDINE,AVENUE ABOU DHABI EL KHARROUBA,8050,HAMMAMET,NABEUL,MEDECINE GENERALE,CABINET MEDICAL INDIVIDUEL,NON,باجة,HAMMAMET (Chaabet El Mrezga),الحمامات (شعبة المرزڨة),HAMMAMET,36.4,10.6167
SAFOUANE BEN DAROUICHE,BEN DAROUICHE,SAFOUANE,IMM  MARIEM 1ER ETAGE  N 1-2  RT GREMDA  KM 5.5,3062,SIDI ABBèS,SFAX,MEDECINE GENERALE,APC,APC,تونس,SFAX SUD (Sidi Abbes),صفاقس الجنوبية (سيدي عباس),SFAX SUD,34.7406,10.76
MOHAMED  BECHIR METOUI,METOUI,MOHAMED  BECHIR, RTE GREMDA AV CARTHAGE IMM OLIVIA BLOC B,3027,SFAX JADIDA,SFAX,PHARMACIEN D'OFFICINE DE JOUR,CABINET MEDICAL INDIVIDUEL,NON,باجة,SFAX VILLE (Sfax El Jadida),صفاقس المدينة (صفاقس الجديدة),SFAX VILLE,34.7406,10.76
SALAH METTIJI,METTIJI,SALAH,AV MOHAMED ALI   AU DESSUS DE MAGASIN GENERAL Entreé A 1ere étage  Appartement 1,6000,GABES VILLE,GABES,MEDECIN DENTISTE,APC,APC,تونس,GABES MEDINA (Cite Ben Kilani),قابس المدينة (حي بن كيلاني),GABES MEDINA,33.8815,10.0982
MARZOUK HAMDANI,HAMDANI,MARZOUK,AV 2 MARS 1934,5100,MAHDIA,MAHDIA,UROLOGIE,CABINET MEDICAL INDIVIDUEL,NON,أريانة,MAHDIA (Cite Afh),المهدية (حي الوكالة العقارية للسكنى),MAHDIA,35.5044,11.0567
RAYAN LEJMI CHERIF,LEJMI CHERIF,RAYAN,HOPITAL MILITAIRE PRINCIPAL D'INSTRUCTION DE TUNIS,1008,TUNIS BAB MENARA,TUNIS,MEDECIN DENTISTE,CABINET MEDICAL DE GROUPE,NON,نابل,LA MEDINA (Bab Djedid),المدينة (باب الجديد),LA MEDINA,36.7981,10.1803
MOHAMED EL -KAMEL DEY,DEY,MOHAMED EL -KAMEL,HOPITAL FATTOUMA BOURGUIBA,5000,MONASTIR,MONASTIR,PHARMACIEN D'OFFICINE DE JOUR,CABINET MEDICAL INDIVIDUEL,NON,الكاف,MONASTIR (Monastir),المنستير (المنستير),MONASTIR,35.7644,10.8
MEHERZIA ABIDI,ABIDI,MEHERZIA,RUE ALI DHIB,6000,GABES VILLE,GABES,PHARMACIEN D'OFFICINE DE JOUR,CABINET MEDICAL INDIVIDUEL,NON,الكاف,GABES MEDINA (Cite Ben Kilani),قابس المدينة (حي بن كيلاني),GABES MEDINA,33.8815,10.0982
CHIRAZ YACOUB,YACOUB,CHIRAZ,27 AV. ABOU ZAKARIA EL HAFSI,1000,TUNIS RP (VILLE),TUNIS,MEDECIN DENTISTE,CABINET MEDICAL INDIVIDUEL,NON,أريانة,BAB BHAR (Bab Bhar),باب بحر (باب بحر),BAB BHAR,36.7981,10.1803
SONDESS KARMANI,KARMANI,SONDESS,IMM. BEN HASSINE AV HABIB THAMEUR,4180,DJERBA HOUMET SOUK,MEDENINE,PHARMACIEN D'OFFICINE DE JOUR,CABINET MEDICAL INDIVIDUEL,NON,سوسة,HOUMET ESSOUK (Bazim),حومة السوق (بازيم),HOUMET ESSOUK,33.8814,10.85
OUAFA FKIH AMOR,FKIH AMOR,OUAFA,12 RUE MUSTAPHA KHAZNADAR,2011,DEN DEN,MANOUBA,MEDECINE GENERALE,CENTRE D'IMAGERIE MEDICALE,NON,سوسة,MANNOUBA (Denden),منوبة (الدندان),MANNOUBA,36.8097,10.0928
ABRAR SALMI,SALMI,ABRAR,50 AVN FAYCEL BEN ABDELAZIZ NOUVELLE MADINA,2063,MEDINA JEDIDA,BEN AROUS,MEDECIN DENTISTE,CABINET MEDICAL INDIVIDUEL,NON,مدنين,NOUVELLE MEDINA (Nouvelle Medina),المدينة الجديدة (المدينة الجديدة),NOUVELLE MEDINA,36.75,10.23
RAGHDA EP EL HAJ IBRAHIM ETTIS,ETTIS,RAGHDA EP EL HAJ IBRAHIM,RUE PALESTINE LOT N 1,4020,KONDAR,SOUSSE,MEDECINE GENERALE,OFFICINE DE NUIT,NON,قفصة,KONDAR (Bir Jedid),كندار (بئر جديد),KONDAR,35.935,10.3217
DHIKRA LACHNEB,LACHNEB,DHIKRA,"""Centre Aziz"" Avenue de l'Indépendance 2ème étage Cabinet N°201",7050,MENZEL BOURGUIBA,BIZERTE,MEDECINE GENERALE,CABINET DE KINESITHERAPIE,NON,بن عروس,MATEUR (Henchir El Berna),ماطر (هنشير البرنة),MATEUR,37.0255,9.6503
FAHD SGHAIROUN,SGHAIROUN,FAHD,IMM FATTOUM AV COMBATTANT SUPREME,5000,MONASTIR,MONASTIR,PHYSIOTHERAPIE,CABINET MEDICAL INDIVIDUEL,NON,جندوبة,MONASTIR (Monastir),المنستير (المنستير),MONASTIR,35.7644,10.8
MOHAMED WALID GOUJA,GOUJA,MOHAMED WALID,RUE TAIEB HCHICHA M SAKEN,4070,M'SAKEN,SOUSSE,CHIRURGIE GENERALE,APC,APC,المهدية,MSAKEN (Msaken),مساكن (مساكن),MSAKEN,35.7275,10.5803
BOUDIRBALA ZERZERI,ZERZERI,BOUDIRBALA,ROUTE DE LA PLAGE APPT N°01,8013,EL MAAMOURA,NABEUL,CHIRURGIE ORTHOPEDIQUE,CABINET MEDICAL INDIVIDUEL,NON,المهدية,BENI KHIAR (El Maamoura),بني خيار (المعمورة),BENI KHIAR,36.45,10.7833
JEMIL LAGREN,LAGREN,JEMIL,"6, Rue El Hédi Saïdi, App N°2",7050,MENZEL BOURGUIBA,BIZERTE,PHYSIOTHERAPIE,LABORATOIRE D'ANALYSES,NON,باجة,MATEUR (Henchir El Berna),ماطر (هنشير البرنة),MATEUR,37.0255,9.6503
FOURAT SGATNI,SGATNI,FOURAT,RUE BIZERTE ERRIHIBA,9070,MEDJEZ EL BAB,BEJA,PHARMACIEN D'OFFICINE DE JOUR,CABINET MEDICAL INDIVIDUEL,NON,سليانة,MEJEZ EL BAB (Argoub Ezzaatar),مجاز الباب (عرقوب الزعتر),MEJEZ EL BAB,36.6492,9.6108
RAFIDA BEN JMAA,BEN JMAA,RAFIDA,"""TUNISIE MEDICALE"" 4eme ETAGE ,APP.B3-4 , 158 , AVENUE HEDI NOUIRA",2037,EL MENZAH 7 - ENNASR II,ARIANA,MEDECIN DENTISTE,CABINET MEDICAL INDIVIDUEL,NON,قفصة,ARIANA VILLE (Centre Commercial Ikram),أريانة المدينة (المركب التجاري إكرام),ARIANA VILLE,36.8653,10.1682
HANEM BRAHMIA,BRAHMIA,HANEM,HOPITAL MILITAIRE PRINCIPAL D'INSTRUCTION DE TUNIS (HMPIT),1007,TUNIS JEBBARI,TUNIS,PHARMACIEN D'OFFICINE DE JOUR,CABINET MEDICAL INDIVIDUEL,NON,قبلي,ESSIJOUMI (El Mellassine),السيجومي (الملاسين),ESSIJOUMI,36.7833,10.15
ENTIDHAR BEN YAAKOUB,BEN YAAKOUB,ENTIDHAR,IMMOBILIERE MEDICALE BOULEVARD 7 NOVEMBRE,4051,SOUSSE KHEZAMA,SOUSSE,MEDECINE INTERNE,OFFICINE DE JOUR,NON,مدنين,SOUSSE JAOUHARA (Cite De La Steg),سوسة جوهرة (حي الشركة التونسية للكهرباء والغاز),SOUSSE JAOUHARA,35.8269,10.63
ESKANDER BEL HAJ RHOUMA,BEL HAJ RHOUMA,ESKANDER,CITE EZZOUHOUR,5112,KERKER,MAHDIA,PHYSIOTHERAPIE,CABINET MEDICAL INDIVIDUEL,NON,توزر,BOU MERDES (Bou Helal El Ali Nord),بومرداس (بوهلال العلي الشمالية),BOU MERDES,35.4333,10.7333
AKILA SARHANI,SARHANI,AKILA,EPS SAHLOUL,4000,SOUSSE MEDINA,SOUSSE,PEDIATRIE,Office de la Marine Marchande et des Ports,NON,المنستير,SOUSSE VILLE (Cite Boukhzar),سوسة المدينة (حي بوخزر),SOUSSE VILLE,35.8269,10.63
LOBNA MILADI,MILADI,LOBNA,"1, RUE CHARLES NICOLLE 2034 EZZAHRA",2034,EZZAHRA,BEN AROUS,GYNECOLOGIE-OBSTETRIQUE,CABINET MEDICAL INDIVIDUEL,NON,صفاقس,EZZAHRA (Cite 18 Janvier),الزهراء (حي 18 جانفي),EZZAHRA,36.743,10.308
MOHAMED ALI RACHID HAMZA EP DOUAY,HAMZA EP DOUAY,MOHAMED ALI RACHID,AVENUE ABI ZEMAA EL BALAOUI,3100,KAIROUAN,KAIROUAN,PHARMACIEN : BACTERIOLOGIE & MICROBIOLOGIE,CABINET MEDICAL INDIVIDUEL,NON,الكاف,KAIROUAN SUD (Cite El Moez),القيروان الجنوبية (حي المعز),KAIROUAN SUD,35.6772,10.098
SONDES MASSAOUDI,MASSAOUDI,SONDES,RUE DE LA REPUBLIQUE PRES DE UIB,4030,ENFIDHA,SOUSSE,BIOLOGIE CLINIQUE,CABINET MEDICAL INDIVIDUEL,NON,سوسة,ENFIDHA (Cite 7 Novembre),النفيضة (حي 7 نوفمبر),ENFIDHA,36.1353,10.3817
MOHAMED CHAKIB ELGHRAB,ELGHRAB,MOHAMED CHAKIB,AV IBN EL JAZZAR IMMEUBLE IBN SINA,4000,SOUSSE MEDINA,SOUSSE,CHIRURGIE GENERALE,CABINET MEDICAL INDIVIDUEL,NON,سيدي بوزيد,SOUSSE VILLE (Cite Boukhzar),سوسة المدينة (حي بوخزر),SOUSSE VILLE,35.8269,10.63
MOHAMED ABOULKACEM BEN HASSOUN,BEN HASSOUN,MOHAMED ABOULKACEM,N° 93 AVENUE MOHAMED ALI,6000,GABES VILLE,GABES,ANATOMIE PATHOLOGIQUE,CABINET MEDICAL INDIVIDUEL,NON,سليانة,GABES MEDINA (Cite Ben Kilani),قابس المدينة (حي بن كيلاني),GABES MEDINA,33.8815,10.0982
FAHMI KEFI,KEFI,FAHMI,ROUTE KSAR OULED OUN BENI M'HIRA EST TATAOUINE,3262,BENI M'HIRA,TATAOUINE,PEDIATRIE,CABINET MEDICAL INDIVIDUEL,NON,القصرين,SMAR (Beni Mehira),الصمار (بني مهيرة),SMAR,33.05,10.6833
NESRINA RJILI,RJILI,NESRINA,RTE MATAR KM 4 CITE BAHRI 2 RUE 895 N 56 SFAX,3023,OUED RAMEL,SFAX,MEDECINE GENERALE,CABINET MEDICAL INDIVIDUEL,NON,تطاوين,SFAX EST (Oued Rmal),صفاقس الشرقية (وادي الرمال),SFAX EST,34.7406,10.76
HASSEN AKBA HAJ SLIMENE,HAJ SLIMENE,HASSEN AKBA,CITE ENNESIM AV HABIB BOURGUIBA,9113,BIR EL HAFFEY,SIDI BOUZID,PHYSIOTHERAPIE,MINISTERE DE L'INTERIEUR,NON,سوسة,BIR EL HAFFEY (Bir Amema),بئر الحفي (بئر عمامة),BIR EL HAFFEY,34.9331,9.1975
MOUADH BOUCHAHOUA,BOUCHAHOUA,MOUADH,RUE DE JERBA N°38,3100,KAIROUAN,KAIROUAN,PHYSIOTHERAPIE,CABINET MEDICAL INDIVIDUEL,NON,قابس,KAIROUAN SUD (Cite El Moez),القيروان الجنوبية (حي المعز),KAIROUAN SUD,35.6772,10.098
RAYHANE DORRA JIHENE BEN JERAD,JIHENE BEN JERAD,RAYHANE DORRA,41 ave habib bourguiba imm elmanar bardo 2000,2000,BARDO,TUNIS,MEDECINE GENERALE,OFFICINE DE JOUR,NON,المهدية,EL OMRANE (Ras Tabia),العمران (رأس الطابية),EL OMRANE,36.8167,10.1667
HENDA BOUYAHIA,BOUYAHIA,HENDA,ROUTE DE TUNIS CITE EL BOSTEN KELIBIA,8090,KELIBIA OUEST,NABEUL,MEDECINE GENERALE,CABINET MEDICAL INDIVIDUEL,NON,قابس,KELIBIA (Cite Afh),قليبية (حي الوكالة العقارية للسكنى),KELIBIA,36.8472,11.0944
MOHAMED HABIB ET HEDI AHMED RIDHA,AHMED RIDHA,MOHAMED HABIB ET HEDI,IMMOBILIERE NEBLI PLACE DU GRAND MAGREB,4000,SOUSSE MEDINA,SOUSSE,GYNECOLOGIE-OBSTETRIQUE,CABINET MEDICAL INDIVIDUEL,NON,بن عروس,SOUSSE VILLE (Cite Boukhzar),سوسة المدينة (حي بوخزر),SOUSSE VILLE,35.8269,10.63
mohamed lamin GUEBSI,GUEBSI,mohamed lamin,av 7 nov,4175,EL MAY,MEDENINE,MEDECINE GENERALE,CABINET MEDICAL INDIVIDUEL,NON,صفاقس,MIDOUN (El May),ميدون (الماي),MIDOUN,33.8042,10.9725
MOHAMEDKHAIREDDINE GUEMBRI,GUEMBRI,MOHAMEDKHAIREDDINE,AV DES MARTYRS IMM PALMARIUM 4 ESC B  SFAX,3027,SFAX JADIDA,SFAX,OPHTALMOLOGIE,CABINET MEDICAL INDIVIDUEL,NON,قبلي,SFAX VILLE (Sfax El Jadida),صفاقس المدينة (صفاقس الجديدة),SFAX VILLE,34.7406,10.76
MERVET CHEDLY,CHEDLY,MERVET,333 RUE IBN KHALDOUN,2041,CITE ETTADHAMEN,ARIANA,MEDECINE GENERALE,CABINET MEDICAL INDIVIDUEL,NON,القيروان,ETTADHAMEN (Cite 18 Janvier),التضامن (حي 18 جانفي),ETTADHAMEN,36.8387,10.102
KAMEL EDDINE BEN SMIDA,BEN SMIDA,KAMEL EDDINE,TOUR DE BIZERTE CENTER APP 48 -7eme ETAGE,7000,BIZERTE,BIZERTE,MEDECINE GENERALE,APC,APC,باجة,BIZERTE NORD (Bizerte),بنزرت الشمالية (بنزرت),BIZERTE NORD,37.2744,9.8739
YOSRA ISSA,ISSA,YOSRA,IMM ELQODS,4100,MEDENINE,MEDENINE,PHYSIOTHERAPIE,CABINET MEDICAL INDIVIDUEL,NON,الكاف,MEDENINE NORD (Cite El Khrachfa),مدنين الشمالية (حي الخراشفة),MEDENINE NORD,33.3556,10.4925
HEDI LAMAIRI,LAMAIRI,HEDI,"9,Avenue Taieb M'hiri",2050,HAMMAM-LIF,BEN AROUS,MEDECINE DE FAMILLE,OFFICINE DE NUIT,NON,جندوبة,HAMMAM LIF (Cite Des Ouvriers),حمام الأنف (حي العمال),HAMMAM LIF,36.728,10.336
SELMA ESSAIED,ESSAIED,SELMA,"21, Rue d'Alger",2050,HAMMAM-LIF,BEN AROUS,PHYSIOTHERAPIE,CABINET DE KINESITHERAPIE,NON,أريانة,HAMMAM LIF (Cite Des Ouvriers),حمام الأنف (حي العمال),HAMMAM LIF,36.728,10.336
MOHAMED HELMI BOUKADI,BOUKADI,MOHAMED HELMI,BUREAU N° 201 2EME ETAGE IMMEUBLE AMNA,8056,BARRAKET ESSAHEL,NABEUL,MEDECINE GENERALE,CABINET DE CHIRURGIE DENTAIRE,NON,بنزرت,HAMMAMET (Barraket Essahel),الحمامات (براكة الساحل),HAMMAMET,36.4,10.6167
DHOUHA NAHLA SAIHI,SAIHI,DHOUHA NAHLA,"7, PLACE PASTEUR",1002,TUNIS BELVEDERE,TUNIS,CHIRURGIE ORTHOPEDIQUE,CABINET DE KINESITHERAPIE,NON,نابل,BAB BHAR (Hedi Chaker),باب بحر (الهادي شاكر),BAB BHAR,36.7981,10.1803
BAHA KEDOUS,KEDOUS,BAHA,11 RUE FARHAT HACHED,8025,HAMMAM EL GHEZAZ,NABEUL,HEMATOLOGIE BIOLOGIQUE,CABINET MEDICAL INDIVIDUEL,NON,سيدي بوزيد,HAMMAM EL GHEZAZ (Cite Jardins),حمام الأغزاز (حي الحدائق),HAMMAM EL GHEZAZ,37.0711,11.0469
HIYEM MORJENE,MORJENE,HIYEM,"73, Avenue Salammbo.",2050,HAMMAM-LIF,BEN AROUS,MEDECIN DENTISTE,DOUANE,NON,قبلي,HAMMAM LIF (Cite Des Ouvriers),حمام الأنف (حي العمال),HAMMAM LIF,36.728,10.336
SOFIENNE EL HOUCHE,EL HOUCHE,SOFIENNE,"N° 12 RUE TAHA H'SIN, CITE ESSAADA",7100,LE KEF,LE KEF,PHYSIOTHERAPIE,CABINET MEDICAL INDIVIDUEL,NON,سليانة,LE KEF EST (Salah El Bahri),الكاف الشرقية (صلاح البحري),LE KEF EST,36.1817,8.71
ISSAMEDDINE DAGHBOUJI,DAGHBOUJI,ISSAMEDDINE,CENTRE MEDICAL L'ELYSEE 1er ETAGE BUREAU N°5,4180,DJERBA HOUMET SOUK,MEDENINE,MEDECINE GENERALE,CABINET MEDICAL INDIVIDUEL,NON,الكاف,HOUMET ESSOUK (Bazim),حومة السوق (بازيم),HOUMET ESSOUK,33.8814,10.85
